combo_id,algo,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT,reward,rate,terminal_time,avg_finish_time,finish_rate,accepted,time_rides,time_delivery
1,DRL,2,0.1,0.33,5,5,6,5.5,113.94034423828126,0.3341414451599121,340.9,340.9,1.0,2.8,72.2,268.7
1,HEUR,2,0.1,0.33,5,5,6,5.5,80.52675552368164,0.26230665941402026,280.6,280.6,1.0,1.4,37.7,242.9
1,HEUR_VOR,2,0.1,0.33,5,5,6,5.5,56.89733047485352,0.22596064901106522,241.5,241.5,1.0,0.6,13.9,227.6
1,FOUR_ZONE,2,0.1,0.33,5,5,6,5.5,43.2,0.18373827772345533,233.8,233.8,1.0,0.0,0.0,233.8
1,PURE,2,0.1,0.33,5,5,6,5.5,43.2,0.18373827772345533,233.8,233.8,1.0,0.0,0.0,233.8
1,PURE_OR,2,0.1,0.33,5,5,6,5.5,43.2,0.20333110843981053,210.6,210.6,1.0,0.0,0.0,210.6
2,DRL,2,0.1,0.33,5,5,6,6.0,120.3713592529297,0.35270538330078127,340.9,340.9,1.0,2.8,72.2,268.7
2,HEUR,2,0.1,0.33,5,5,6,6.0,83.92014770507812,0.2717937936322362,280.6,280.6,1.0,1.4,37.7,242.9
2,HEUR_VOR,2,0.1,0.33,5,5,6,6.0,58.1425537109375,0.23029629683249161,241.5,241.5,1.0,0.6,13.9,227.6
2,FOUR_ZONE,2,0.1,0.33,5,5,6,6.0,43.2,0.18373827772345533,233.8,233.8,1.0,0.0,0.0,233.8
2,PURE,2,0.1,0.33,5,5,6,6.0,43.2,0.18373827772345533,233.8,233.8,1.0,0.0,0.0,233.8
2,PURE_OR,2,0.1,0.33,5,5,6,6.0,43.2,0.20333110843981053,210.6,210.6,1.0,0.0,0.0,210.6
3,DRL,2,0.1,0.5,5,5,6,5.5,139.7740005493164,0.3695981036043081,366.8,366.8,1.0,2.8,76.7,290.1
3,HEUR,2,0.1,0.5,5,5,6,5.5,98.33040924072266,0.3087152789449606,317.4,317.4,1.0,1.0,33.7,283.7
3,HEUR_VOR,2,0.1,0.5,5,5,6,5.5,79.48645782470703,0.2715447972520373,289.9,289.9,1.0,0.6,15.2,274.7
3,FOUR_ZONE,2,0.1,0.5,5,5,6,5.5,64.4,0.2272855885843997,281.5,281.5,1.0,0.0,0.0,281.5
3,PURE,2,0.1,0.5,5,5,6,5.5,64.4,0.2272855885843997,281.5,281.5,1.0,0.0,0.0,281.5
3,PURE_OR,2,0.1,0.5,5,5,6,5.5,64.4,0.26304952761870226,243.8,243.8,1.0,0.0,0.0,243.8
4,DRL,2,0.1,0.5,5,5,6,6.0,146.6262466430664,0.3867474447107229,366.8,366.8,1.0,2.8,76.7,290.1
4,HEUR,2,0.1,0.5,5,5,6,6.0,101.41500549316406,0.3179833362913046,317.4,317.4,1.0,1.0,33.7,283.7
4,HEUR_VOR,2,0.1,0.5,5,5,6,6.0,80.85795288085937,0.2761310289605639,289.9,289.9,1.0,0.6,15.2,274.7
4,FOUR_ZONE,2,0.1,0.5,5,5,6,6.0,64.4,0.2272855885843997,281.5,281.5,1.0,0.0,0.0,281.5
4,PURE,2,0.1,0.5,5,5,6,6.0,64.4,0.2272855885843997,281.5,281.5,1.0,0.0,0.0,281.5
4,PURE_OR,2,0.1,0.5,5,5,6,6.0,64.4,0.26304952761870226,243.8,243.8,1.0,0.0,0.0,243.8
5,DRL,2,0.1,0.67,5,5,6,5.5,253.3340270996094,0.43237574100494386,580.1,580.1,1.0,6.4,170.1,410.0
5,HEUR,2,0.1,0.67,5,5,6,5.5,125.13725280761719,0.3241369605064392,389.1,389.1,1.0,1.8,40.4,348.7
5,HEUR_VOR,2,0.1,0.67,5,5,6,5.5,108.34365692138672,0.29518640525869866,371.5,371.5,1.0,1.0,23.4,348.1
5,FOUR_ZONE,2,0.1,0.67,5,5,6,5.5,85.6,0.2594351070775064,332.4,332.4,1.0,0.0,0.0,332.4
5,PURE,2,0.1,0.67,5,5,6,5.5,85.6,0.2594351070775064,332.4,332.4,1.0,0.0,0.0,332.4
5,PURE_OR,2,0.1,0.67,5,5,6,5.5,85.6,0.29997994545188855,283.8,283.8,1.0,0.0,0.0,283.8
6,DRL,2,0.1,0.67,5,5,6,6.0,268.3973358154297,0.4570302665233612,579.5,579.5,1.0,6.4,169.8,409.7
6,HEUR,2,0.1,0.67,5,5,6,6.0,128.73157958984376,0.33347070813179014,389.1,389.1,1.0,1.8,40.4,348.7
6,HEUR_VOR,2,0.1,0.67,5,5,6,6.0,110.41127014160156,0.30106884725622673,371.5,371.5,1.0,1.0,23.4,348.1
6,FOUR_ZONE,2,0.1,0.67,5,5,6,6.0,85.6,0.2594351070775064,332.4,332.4,1.0,0.0,0.0,332.4
6,PURE,2,0.1,0.67,5,5,6,6.0,85.6,0.2594351070775064,332.4,332.4,1.0,0.0,0.0,332.4
6,PURE_OR,2,0.1,0.67,5,5,6,6.0,85.6,0.29997994545188855,283.8,283.8,1.0,0.0,0.0,283.8
7,DRL,2,0.1,0.83,5,5,6,5.5,209.14339904785157,0.43162386417388915,480.2,480.2,1.0,3.4,103.8,376.4
7,HEUR,2,0.1,0.83,5,5,6,5.5,169.29151306152343,0.3755706250667572,451.4,451.4,1.0,2.2,64.1,387.3
7,HEUR_VOR,2,0.1,0.83,5,5,6,5.5,157.210546875,0.3711701989173889,426.4,426.4,1.0,1.8,52.0,374.4
7,FOUR_ZONE,2,0.1,0.83,5,5,6,5.5,105.2,0.30346051279269637,350.5,350.5,1.0,0.0,0.0,350.5
7,PURE,2,0.1,0.83,5,5,6,5.5,105.2,0.30346051279269637,350.5,350.5,1.0,0.0,0.0,350.5
7,PURE_OR,2,0.1,0.83,5,5,6,5.5,105.2,0.3224321005110184,325.4,325.4,1.0,0.0,0.0,325.4
8,DRL,2,0.1,0.83,5,5,6,6.0,218.59288024902344,0.45093238949775694,480.2,480.2,1.0,3.4,103.8,376.4
8,HEUR,2,0.1,0.83,5,5,6,6.0,175.11806030273436,0.38849651217460635,451.4,451.4,1.0,2.2,64.1,387.3
8,HEUR_VOR,2,0.1,0.83,5,5,6,6.0,161.93881530761718,0.3824466824531555,426.4,426.4,1.0,1.8,52.0,374.4
8,FOUR_ZONE,2,0.1,0.83,5,5,6,6.0,105.2,0.30346051279269637,350.5,350.5,1.0,0.0,0.0,350.5
8,PURE,2,0.1,0.83,5,5,6,6.0,105.2,0.30346051279269637,350.5,350.5,1.0,0.0,0.0,350.5
8,PURE_OR,2,0.1,0.83,5,5,6,6.0,105.2,0.3224321005110184,325.4,325.4,1.0,0.0,0.0,325.4
9,DRL,2,0.1,1.0,5,5,6,5.5,233.2058837890625,0.4391861617565155,520.1,520.1,1.0,3.4,107.4,412.7
9,HEUR,2,0.1,1.0,5,5,6,5.5,157.07518310546874,0.3465304847155945,451.5,451.5,1.0,1.2,31.3,420.2
9,HEUR_VOR,2,0.1,1.0,5,5,6,5.5,145.29467163085937,0.32946013187334694,439.5,439.5,1.0,0.6,19.0,420.5
9,FOUR_ZONE,2,0.1,1.0,5,5,6,5.5,126.4,0.3020488391073032,417.6,417.6,1.0,0.0,0.0,417.6
9,PURE,2,0.1,1.0,5,5,6,5.5,126.4,0.3020488391073032,417.6,417.6,1.0,0.0,0.0,417.6
9,PURE_OR,2,0.1,1.0,5,5,6,5.5,126.4,0.35386944388984054,356.2,356.2,1.0,0.0,0.0,356.2
10,DRL,2,0.1,1.0,5,5,6,6.0,242.9161407470703,0.4565427303314209,520.1,520.1,1.0,3.4,107.4,412.7
10,HEUR,2,0.1,1.0,5,5,6,6.0,159.8638427734375,0.3524858589564698,451.5,451.5,1.0,1.2,31.3,420.2
10,HEUR_VOR,2,0.1,1.0,5,5,6,6.0,147.0123733520508,0.3331042883293406,439.5,439.5,1.0,0.6,19.0,420.5
10,FOUR_ZONE,2,0.1,1.0,5,5,6,6.0,126.4,0.3020488391073032,417.6,417.6,1.0,0.0,0.0,417.6
10,PURE,2,0.1,1.0,5,5,6,6.0,126.4,0.3020488391073032,417.6,417.6,1.0,0.0,0.0,417.6
10,PURE_OR,2,0.1,1.0,5,5,6,6.0,126.4,0.35386944388984054,356.2,356.2,1.0,0.0,0.0,356.2
11,DRL,2,0.2,0.33,5,5,6,5.5,255.72152252197264,0.46224428415298463,528.7,528.7,1.0,8.0,224.7,304.0
11,HEUR,2,0.2,0.33,5,5,6,5.5,102.57132110595703,0.3116040289402008,314.2,314.2,1.0,2.2,61.8,252.4
11,HEUR_VOR,2,0.2,0.33,5,5,6,5.5,72.2796646118164,0.2674653311211691,263.3,263.3,1.0,1.0,30.6,232.7
11,FOUR_ZONE,2,0.2,0.33,5,5,6,5.5,43.2,0.18373827772345533,233.8,233.8,1.0,0.0,0.0,233.8
11,PURE,2,0.2,0.33,5,5,6,5.5,43.2,0.18373827772345533,233.8,233.8,1.0,0.0,0.0,233.8
11,PURE_OR,2,0.2,0.33,5,5,6,5.5,43.2,0.20333110843981053,210.6,210.6,1.0,0.0,0.0,210.6
12,DRL,2,0.2,0.33,5,5,6,6.0,275.04336700439455,0.49609804153442383,528.7,528.7,1.0,8.0,224.7,304.0
12,HEUR,2,0.2,0.33,5,5,6,6.0,107.96878509521484,0.3272918701171875,314.2,314.2,1.0,2.2,61.8,252.4
12,HEUR_VOR,2,0.2,0.33,5,5,6,6.0,74.92328491210938,0.2766952534157858,263.3,263.3,1.0,1.0,30.6,232.7
12,FOUR_ZONE,2,0.2,0.33,5,5,6,6.0,43.2,0.18373827772345533,233.8,233.8,1.0,0.0,0.0,233.8
12,PURE,2,0.2,0.33,5,5,6,6.0,43.2,0.18373827772345533,233.8,233.8,1.0,0.0,0.0,233.8
12,PURE_OR,2,0.2,0.33,5,5,6,6.0,43.2,0.20333110843981053,210.6,210.6,1.0,0.0,0.0,210.6
13,DRL,2,0.2,0.5,5,5,6,5.5,267.31786193847654,0.47454453110694883,532.9,532.9,1.0,7.4,214.2,318.7
13,HEUR,2,0.2,0.5,5,5,6,5.5,133.72543640136718,0.3598839581012726,363.1,363.1,1.0,2.8,73.5,289.6
13,HEUR_VOR,2,0.2,0.5,5,5,6,5.5,128.20874633789063,0.37153183221817015,342.0,342.0,1.0,2.0,66.8,275.2
13,FOUR_ZONE,2,0.2,0.5,5,5,6,5.5,64.4,0.2272855885843997,281.5,281.5,1.0,0.0,0.0,281.5
13,PURE,2,0.2,0.5,5,5,6,5.5,64.4,0.2272855885843997,281.5,281.5,1.0,0.0,0.0,281.5
