combo_id,algo,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT,reward,rate,terminal_time,avg_finish_time,finish_rate,accepted,time_rides,time_delivery
1,DRL,0.4,0.6,0.025,3,5,6,2.0,10.268375778198243,0.10949676127190422,100.0,100.0,1.0,0.2,1.5,98.5
1,HEUR,0.4,0.6,0.025,3,5,6,2.0,13.04156723022461,0.13313795563876407,95.4,95.4,1.0,0.2,2.4,93.0
1,HEUR_VOR,0.4,0.6,0.025,3,5,6,2.0,8.2,0.09149672425264388,93.4,93.4,1.0,0.0,0.0,93.4
1,FOUR_ZONE,0.4,0.6,0.025,3,5,6,2.0,7.6,0.09211527123738106,82.1,82.1,1.0,0.0,0.0,82.1
1,PURE,0.4,0.6,0.025,3,5,6,2.0,11.0,0.10147810754020962,109.3,109.3,1.0,0.0,0.0,109.3
2,DRL,0.4,0.6,0.025,3,5,6,4.0,72.09486389160156,0.4557975009279306,102.5,102.5,1.0,0.8,16.7,85.8
2,HEUR,0.4,0.6,0.025,3,5,6,4.0,8.4,0.09115283675688146,92.1,92.1,1.0,0.0,0.0,92.1
2,HEUR_VOR,0.4,0.6,0.025,3,5,6,4.0,10.4,0.09178458825448119,116.7,116.7,1.0,0.0,0.0,116.7
2,FOUR_ZONE,0.4,0.6,0.025,3,5,6,4.0,10.0,0.08724421160942486,115.9,115.9,1.0,0.0,0.0,115.9
2,PURE,0.4,0.6,0.025,3,5,6,4.0,8.0,0.10341107688469175,83.3,83.3,1.0,0.0,0.0,83.3
3,DRL,0.4,0.6,0.025,3,5,6,8.0,97.20035400390626,0.44791113312818054,123.9,123.9,1.0,0.4,11.8,112.1
3,HEUR,0.4,0.6,0.025,3,5,6,8.0,6.6,0.09769005008841211,69.1,69.1,1.0,0.0,0.0,69.1
3,HEUR_VOR,0.4,0.6,0.025,3,5,6,8.0,10.4,0.09624790856083938,108.6,108.6,1.0,0.0,0.0,108.6
3,FOUR_ZONE,0.4,0.6,0.025,3,5,6,8.0,10.8,0.0960629588004139,111.4,111.4,1.0,0.0,0.0,111.4
3,PURE,0.4,0.6,0.025,3,5,6,8.0,10.4,0.09765307015245406,107.3,107.3,1.0,0.0,0.0,107.3
4,DRL,0.4,0.6,0.025,5,5,6,2.0,63.0798583984375,0.43307251204312547,142.7,142.7,1.0,2.0,32.0,110.7
4,HEUR,0.4,0.6,0.025,5,5,6,2.0,51.08028106689453,0.3683290963839288,134.4,134.4,1.0,1.0,22.8,111.6
4,HEUR_VOR,0.4,0.6,0.025,5,5,6,2.0,39.04023056030273,0.2814312249469605,125.2,125.2,1.0,0.8,16.0,109.2
4,FOUR_ZONE,0.4,0.6,0.025,5,5,6,2.0,12.2,0.10582132153246701,116.3,116.3,1.0,0.0,0.0,116.3
4,PURE,0.4,0.6,0.025,5,5,6,2.0,8.8,0.08436740796047734,106.0,106.0,1.0,0.0,0.0,106.0
5,DRL,0.4,0.6,0.025,5,5,6,4.0,132.23449096679687,0.8120305714558583,146.2,146.2,1.0,1.8,35.9,110.3
5,HEUR,0.4,0.6,0.025,5,5,6,4.0,80.81986618041992,0.7851329386234284,102.2,102.2,1.0,1.2,20.5,81.7
5,HEUR_VOR,0.4,0.6,0.025,5,5,6,4.0,39.55751953125,0.3417210353120294,106.5,106.5,1.0,0.2,7.9,98.6
5,FOUR_ZONE,0.4,0.6,0.025,5,5,6,4.0,9.4,0.08919568250568088,104.1,104.1,1.0,0.0,0.0,104.1
5,PURE,0.4,0.6,0.025,5,5,6,4.0,10.4,0.10014019574638156,102.8,102.8,1.0,0.0,0.0,102.8
6,DRL,0.4,0.6,0.025,5,5,6,8.0,137.503466796875,0.896770513540115,133.6,133.6,1.0,0.8,17.3,116.3
6,HEUR,0.4,0.6,0.025,5,5,6,8.0,57.902984619140625,0.4163322651272165,115.4,115.4,1.0,0.6,7.8,107.6
6,HEUR_VOR,0.4,0.6,0.025,5,5,6,8.0,48.45001220703125,0.46033202801247236,75.5,75.5,1.0,0.4,5.9,69.6
6,FOUR_ZONE,0.4,0.6,0.025,5,5,6,8.0,9.6,0.10773069412777385,90.3,90.3,1.0,0.0,0.0,90.3
6,PURE,0.4,0.6,0.025,5,5,6,8.0,8.8,0.09670701804578549,92.0,92.0,1.0,0.0,0.0,92.0
7,DRL,0.4,0.6,0.05,3,5,6,2.0,59.498626708984375,0.35150243937969206,169.2,169.2,1.0,1.2,21.9,147.3
7,HEUR,0.4,0.6,0.05,3,5,6,2.0,48.45802612304688,0.2861057355058717,150.0,150.0,1.0,0.6,16.7,133.3
7,HEUR_VOR,0.4,0.6,0.05,3,5,6,2.0,21.4,0.14058063802519377,155.0,155.0,1.0,0.0,0.0,155.0
7,FOUR_ZONE,0.4,0.6,0.05,3,5,6,2.0,21.0,0.13392255868676234,156.8,156.8,1.0,0.0,0.0,156.8
7,PURE,0.4,0.6,0.05,3,5,6,2.0,23.6,0.1398017452184083,169.8,169.8,1.0,0.0,0.0,169.8
8,DRL,0.4,0.6,0.05,3,5,6,4.0,154.46782379150392,0.7590201735496521,200.3,200.3,1.0,1.6,35.8,164.5
8,HEUR,0.4,0.6,0.05,3,5,6,4.0,70.71670074462891,0.3465341323741589,180.3,180.3,1.0,0.6,13.7,166.6
8,HEUR_VOR,0.4,0.6,0.05,3,5,6,4.0,39.98248291015625,0.21715836441385158,190.3,190.3,1.0,0.4,4.5,185.8
8,FOUR_ZONE,0.4,0.6,0.05,3,5,6,4.0,18.4,0.1236335717046414,146.0,146.0,1.0,0.0,0.0,146.0
8,PURE,0.4,0.6,0.05,3,5,6,4.0,19.4,0.1232035050000081,157.9,157.9,1.0,0.0,0.0,157.9
9,DRL,0.4,0.6,0.05,3,5,6,8.0,176.38904724121093,0.8193083984189069,181.5,181.5,1.0,1.4,22.0,159.5
9,HEUR,0.4,0.6,0.05,3,5,6,8.0,156.09200744628907,0.6880847942552253,196.8,196.8,1.0,0.8,18.1,178.7
9,HEUR_VOR,0.4,0.6,0.05,3,5,6,8.0,58.07863159179688,0.296067319327668,170.3,170.3,1.0,0.2,4.8,165.5
9,FOUR_ZONE,0.4,0.6,0.05,3,5,6,8.0,19.8,0.1409897152177146,141.3,141.3,1.0,0.0,0.0,141.3
9,PURE,0.4,0.6,0.05,3,5,6,8.0,24.4,0.1489137563389225,164.4,164.4,1.0,0.0,0.0,164.4
10,DRL,0.4,0.6,0.05,5,5,6,2.0,200.6917739868164,0.7147011816501617,267.2,267.2,1.0,3.8,103.7,163.5
10,HEUR,0.4,0.6,0.05,5,5,6,2.0,52.51390075683594,0.2830634380686303,158.4,158.4,1.0,0.8,19.3,139.1
10,HEUR_VOR,0.4,0.6,0.05,5,5,6,2.0,72.54563217163086,0.34363059103488924,209.9,209.9,1.0,1.4,28.9,181.0
10,FOUR_ZONE,0.4,0.6,0.05,5,5,6,2.0,22.4,0.13226050841151532,173.7,173.7,1.0,0.0,0.0,173.7
10,PURE,0.4,0.6,0.05,5,5,6,2.0,21.4,0.13790508378588817,157.4,157.4,1.0,0.0,0.0,157.4
11,DRL,0.4,0.6,0.05,5,5,6,4.0,369.5692657470703,1.2131147146224976,269.8,269.8,1.0,4.0,99.2,170.6
11,HEUR,0.4,0.6,0.05,5,5,6,4.0,95.1935546875,0.542892438108028,165.5,165.5,1.0,0.8,21.2,144.3
11,HEUR_VOR,0.4,0.6,0.05,5,5,6,4.0,61.98912048339844,0.32209233812291205,163.0,163.0,1.0,0.6,12.4,150.6
11,FOUR_ZONE,0.4,0.6,0.05,5,5,6,4.0,22.4,0.14913098652867965,151.4,151.4,1.0,0.0,0.0,151.4
11,PURE,0.4,0.6,0.05,5,5,6,4.0,21.6,0.14161523110706126,158.3,158.3,1.0,0.0,0.0,158.3
12,DRL,0.4,0.6,0.05,5,5,6,8.0,346.56561584472655,1.4922393221325345,207.4,207.4,1.0,1.8,45.0,162.4
12,HEUR,0.4,0.6,0.05,5,5,6,8.0,175.11222229003906,0.9459126789332469,172.0,172.0,1.0,1.2,22.6,149.4
12,HEUR_VOR,0.4,0.6,0.05,5,5,6,8.0,96.2020751953125,0.5704024400113098,142.7,142.7,1.0,0.4,10.9,131.8
