update,kind,reward,rate,ep_rate,terminal_time_min,steps,episodes,step_avg_reward,step_avg_rate,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT,run_id,train_seed,replicate,ALPHA_EFFECTIVE,ALPHA_SATURATION,ALPHA_MEMBERS,R,V,DT,RIDE_TTL_STEPS,RP,HORIZON_MIN,DEMAND_PROFILE,TRAIN_UPDATES,REPORT_UNSCALED,OBS_DIM,R_PAPER,R_PICK_ALPHA_PAPER,PICKUP_RADIUS,ALPHA_EFFECTIVE_PAPER,ALPHA_SATURATION_PAPER
1,train,203.48655891418457,0.4475921009935322,0.4429016262292862,454.625,909.25,8,0.22769181430339813,0.45538362860679626,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
2,train,202.67417483859592,0.4286880313859843,0.40627455049090916,472.77777777777777,945.5555555555555,9,0.21416369080543518,0.42832738161087036,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
3,train,223.98610496520996,0.4281693762775818,0.37983473929101325,523.125,1046.25,8,0.21327660977840424,0.42655321955680847,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
4,train,217.7622194290161,0.4508534563747746,0.44019704684615135,483.0,966.0,8,0.22162632644176483,0.44325265288352966,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
5,train,193.66190168592664,0.4246454172672286,0.4169626202848222,456.05555555555554,912.1111111111111,9,0.22039686143398285,0.4407937228679657,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
5,eval,286.32969055175784,0.45644777706321993,0.43391078114509585,627.3,nan,1,nan,nan,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
6,train,226.41756916046143,0.4290242902140434,0.4103580303490162,527.75,1055.5,8,0.20739823579788208,0.41479647159576416,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
7,train,194.02994613647462,0.4552556220940277,0.4351518134589181,426.2,852.4,10,0.22635652124881744,0.4527130424976349,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
8,train,177.92295608520507,0.42057193259710457,0.4069823086261749,423.05,846.1,10,0.21002626419067383,0.42005252838134766,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
9,train,261.56535775320873,0.4686951246057752,0.44634988052504404,558.0714285714286,1116.142857142857,7,0.235617995262146,0.471235990524292,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
10,train,191.93264389038086,0.4193530386789695,0.41710586845874786,457.6875,915.375,8,0.21376502513885498,0.42753005027770996,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
10,eval,286.32969055175784,0.45644777706321993,0.43391078114509585,627.3,nan,1,nan,nan,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
11,train,262.138578414917,0.4650939515012943,0.4513065330684185,563.625,1127.25,8,0.22852802276611328,0.45705604553222656,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
12,train,187.7590217590332,0.4304754033451277,0.4097672253847122,436.1666666666667,872.3333333333334,9,0.2153962254524231,0.4307924509048462,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
13,train,193.52377891540527,0.4306509683792051,0.41495243459939957,449.375,898.75,8,0.22416360676288605,0.4483272135257721,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
