update,kind,reward,rate,ep_rate,terminal_time_min,steps,episodes,step_avg_reward,step_avg_rate,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT,run_id,train_seed,replicate,ALPHA_EFFECTIVE,ALPHA_SATURATION,ALPHA_MEMBERS,R,V,DT,RIDE_TTL_STEPS,RP,HORIZON_MIN,DEMAND_PROFILE,TRAIN_UPDATES,REPORT_UNSCALED,OBS_DIM,R_PAPER,R_PICK_ALPHA_PAPER,PICKUP_RADIUS,ALPHA_EFFECTIVE_PAPER,ALPHA_SATURATION_PAPER
1,train,334.2549006144206,0.5082436400624742,0.5085616062084833,657.6666666666666,1315.3333333333333,6,0.25167202949523926,0.5033440589904785,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
2,train,271.6333214896066,0.4949071448274977,0.418721944856237,548.8571428571429,1097.7142857142858,7,0.2540730834007263,0.5081461668014526,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
3,train,286.4655020577567,0.5005637829266842,0.4929753414222172,572.2857142857143,1144.5714285714287,7,0.2496352195739746,0.4992704391479492,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
4,train,338.24644978841144,0.4774682269687022,0.4747077226638794,708.4166666666666,1416.8333333333333,6,0.23740984499454498,0.47481968998908997,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
5,train,401.1813232421875,0.4907416798069572,0.4992310285568237,817.5,1635.0,5,0.23750093579292297,0.47500187158584595,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
5,eval,581.7889953613281,0.5017585126014041,0.49832050800323485,1159.5,nan,1,nan,nan,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
6,train,316.3519744873047,0.4827958404995112,0.4818274329106013,655.25,1310.5,6,0.24738582968711853,0.49477165937423706,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
7,train,397.65773010253906,0.5090344727375052,0.477887237071991,781.2,1562.4,5,0.25944435596466064,0.5188887119293213,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
8,train,402.5593516031901,0.5384208893488944,0.5342014133930206,747.6666666666666,1495.3333333333333,6,0.26014870405197144,0.5202974081039429,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
9,train,324.04322814941406,0.4828059023830356,0.45595818261305493,671.1666666666666,1342.3333333333333,6,0.2499638795852661,0.4999277591705322,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
