update,reward,rate,terminal_time_min,steps,episodes,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT
1,35.058132,0.06750761,504.875,1009.75,4,1,2,0.2,0.33,5,5,6,5.5
2,38.271812,0.06698807,570.0,1140.0,2,1,2,0.2,0.33,5,5,6,5.5
3,39.32197,0.06444106,611.0,1222.0,3,1,2,0.2,0.33,5,5,6,5.5
4,44.691814,0.068408154,647.5,1295.0,3,1,2,0.2,0.33,5,5,6,5.5
5,50.05644,0.073818,681.5,1363.0,2,1,2,0.2,0.33,5,5,6,5.5
6,44.85634,0.068527065,619.1666666666666,1238.3333333333333,3,1,2,0.2,0.33,5,5,6,5.5
7,48.178173,0.06810239,679.5,1359.0,3,1,2,0.2,0.33,5,5,6,5.5
8,43.640514,0.06967369,622.6666666666666,1245.3333333333333,3,1,2,0.2,0.33,5,5,6,5.5
9,42.515568,0.075449705,555.3333333333334,1110.6666666666667,3,1,2,0.2,0.33,5,5,6,5.5
10,43.64128,0.07077086,611.8333333333334,1223.6666666666667,3,1,2,0.2,0.33,5,5,6,5.5
11,21.383398,0.060263485,355.6,711.2,5,1,2,0.2,0.33,5,5,6,5.5
12,35.779446,0.070536785,499.6666666666667,999.3333333333334,3,1,2,0.2,0.33,5,5,6,5.5
13,34.97497,0.06918742,497.25,994.5,4,1,2,0.2,0.33,5,5,6,5.5
14,81.88185,0.080928504,1013.5,2027.0,2,1,2,0.2,0.33,5,5,6,5.5
15,46.584366,0.07000966,657.1666666666666,1314.3333333333333,3,1,2,0.2,0.33,5,5,6,5.5
16,48.57053,0.06833394,671.3333333333334,1342.6666666666667,3,1,2,0.2,0.33,5,5,6,5.5
17,64.27037,0.07849801,823.25,1646.5,2,1,2,0.2,0.33,5,5,6,5.5
18,26.192492,0.061930396,406.25,812.5,4,1,2,0.2,0.33,5,5,6,5.5
19,48.26715,0.0721044,651.1666666666666,1302.3333333333333,3,1,2,0.2,0.33,5,5,6,5.5
20,46.528538,0.07479902,611.6666666666666,1223.3333333333333,3,1,2,0.2,0.33,5,5,6,5.5
1,43.97995,0.07500134,584.1666666666666,1168.3333333333333,3,2,2,0.2,0.33,5,5,6,6.0
