combo_id,algo,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,reward,rate,terminal_time,accepted
1,DRL,0.4,0.4,0.5,3,5,6,660.7361999511719,1.0869728326797485,588.6,3.6
1,HEUR,0.4,0.4,0.5,3,5,6,503.3085571289063,0.8491655945777893,568.6,1.4
1,PURE,0.4,0.4,0.5,3,5,6,205.2,0.39559887791987347,519.0,0.0
2,DRL,0.4,0.4,0.5,3,5,12,643.8395874023438,1.058836681760283,592.0,3.0
2,HEUR,0.4,0.4,0.5,3,5,12,611.4422607421875,0.9943574666976929,595.0,2.6
2,PURE,0.4,0.4,0.5,3,5,12,196.8,0.3896158907797819,505.4,0.0
3,DRL,0.4,0.4,0.5,3,8,6,783.870068359375,1.2458445310592652,627.6,4.0
3,HEUR,0.4,0.4,0.5,3,8,6,406.4308288574219,0.7456850349903107,537.3,1.8
3,PURE,0.4,0.4,0.5,3,8,6,196.8,0.37887040041889997,519.9,0.0
4,DRL,0.4,0.4,0.5,3,8,12,547.5919494628906,0.9180038713190678,586.2,2.4
4,HEUR,0.4,0.4,0.5,3,8,12,670.4200012207032,1.113592791557312,594.5,2.2
4,PURE,0.4,0.4,0.5,3,8,12,199.0,0.39147421280289263,508.9,0.0
5,DRL,0.4,0.4,0.5,5,5,6,1823.1592529296875,2.260643482208252,779.7,10.4
5,HEUR,0.4,0.4,0.5,5,5,6,1031.6148010253905,1.5180978894233703,638.0,5.2
5,PURE,0.4,0.4,0.5,5,5,6,192.8,0.3832678188959998,503.0,0.0
6,DRL,0.4,0.4,0.5,5,5,12,1825.71513671875,2.2981698989868162,790.2,11.8
6,HEUR,0.4,0.4,0.5,5,5,12,1399.8678466796875,1.8544777154922485,740.0,9.0
6,PURE,0.4,0.4,0.5,5,5,12,201.6,0.3836896263426432,525.5,0.0
7,DRL,0.4,0.4,0.5,5,8,6,1817.489404296875,2.2693368911743166,799.3,10.4
7,HEUR,0.4,0.4,0.5,5,8,6,1545.89365234375,2.070771360397339,738.4,9.6
7,PURE,0.4,0.4,0.5,5,8,6,192.6,0.3700575400489089,522.2,0.0
8,DRL,0.4,0.4,0.5,5,8,12,2194.0576171875,2.4128681898117064,876.8,13.4
8,HEUR,0.4,0.4,0.5,5,8,12,1635.0697143554687,2.108291745185852,764.8,9.2
8,PURE,0.4,0.4,0.5,5,8,12,190.0,0.37436666055313256,508.0,0.0
9,DRL,0.4,0.4,0.8,3,5,6,1056.2349365234375,1.2867594957351685,809.5,5.0
9,HEUR,0.4,0.4,0.8,3,5,6,551.1768005371093,0.7537789816594069,716.5,1.6
9,PURE,0.4,0.4,0.8,3,5,6,317.6,0.4818067935606489,660.0,0.0
10,DRL,0.4,0.4,0.8,3,5,12,788.8045471191406,1.0437458515167237,740.3,3.2
10,HEUR,0.4,0.4,0.8,3,5,12,821.1684936523437,1.0893312215805053,744.2,3.4
10,PURE,0.4,0.4,0.8,3,5,12,320.0,0.4649524172995746,690.4,0.0
11,DRL,0.4,0.4,0.8,3,8,6,969.7203002929688,1.25990571975708,765.9,4.0
11,HEUR,0.4,0.4,0.8,3,8,6,613.3064208984375,0.8404752254486084,724.2,2.8
11,PURE,0.4,0.4,0.8,3,8,6,336.8,0.49591353609866895,678.9,0.0
12,DRL,0.4,0.4,0.8,3,8,12,732.5649475097656,0.9826004930017118,724.6,2.6
12,HEUR,0.4,0.4,0.8,3,8,12,1105.7402587890624,1.4287036895751952,770.0,4.8
12,PURE,0.4,0.4,0.8,3,8,12,326.8,0.48277447079126007,677.4,0.0
13,DRL,0.4,0.4,0.8,5,5,6,2302.6048583984375,2.241460680961609,1012.9,13.8
13,HEUR,0.4,0.4,0.8,5,5,6,1645.909814453125,1.8514240741729737,870.0,7.8
13,PURE,0.4,0.4,0.8,5,5,6,320.0,0.48326104478184195,662.4,0.0
14,DRL,0.4,0.4,0.8,5,5,12,1923.6133056640624,2.1235655784606933,905.6,11.4
14,HEUR,0.4,0.4,0.8,5,5,12,1533.458154296875,1.7802428007125854,854.9,8.0
14,PURE,0.4,0.4,0.8,5,5,12,322.8,0.48527549919803725,664.8,0.0
15,DRL,0.4,0.4,0.8,5,8,6,2452.001806640625,2.4154398441314697,1014.1,13.8
15,HEUR,0.4,0.4,0.8,5,8,6,1760.77314453125,1.8851725578308105,906.6,10.0
15,PURE,0.4,0.4,0.8,5,8,6,317.6,0.4694280931772129,676.7,0.0
16,DRL,0.4,0.4,0.8,5,8,12,1860.965625,2.0610741853713987,894.6,10.6
16,HEUR,0.4,0.4,0.8,5,8,12,2345.563671875,2.372955083847046,987.3,11.8
