combo_id,algo,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,reward,rate,terminal_time,avg_finish_time,finish_rate,accepted
1,DRL,0.4,0.6,0.5,3,5,6,669.3702239990234,1.1465868592262267,561.8,561.8,1.0,3.6
1,HEUR,0.4,0.6,0.5,3,5,6,460.55580444335936,0.7805505591607743,560.7,560.7,1.0,1.6
1,HEUR_VOR,0.4,0.6,0.5,3,5,6,374.0446838378906,0.6800971051603416,541.0,541.0,1.0,1.0
1,FOUR_ZONE,0.4,0.6,0.5,3,5,6,215.0,0.39451827359918423,545.2,545.2,1.0,0.0
1,PURE,0.4,0.6,0.5,3,5,6,203.8,0.3857327222615957,531.9,531.9,1.0,0.0
2,DRL,0.4,0.6,0.5,5,5,6,1432.7104125976562,1.9334192037582398,728.5,728.5,1.0,8.2
2,HEUR,0.4,0.6,0.5,5,5,6,1275.8792602539063,1.7655579328536988,706.8,706.8,1.0,7.0
2,HEUR_VOR,0.4,0.6,0.5,5,5,6,995.1682739257812,1.5628014087677002,631.4,631.4,1.0,4.6
2,FOUR_ZONE,0.4,0.6,0.5,5,5,6,198.2,0.39754899979720626,498.3,498.3,1.0,0.0
2,PURE,0.4,0.6,0.5,5,5,6,209.4,0.39835257928640744,525.6,525.6,1.0,0.0
3,DRL,0.4,0.6,0.8,3,5,6,1003.0045837402344,1.2899957418441772,760.9,760.9,1.0,4.6
3,HEUR,0.4,0.6,0.8,3,5,6,683.6559814453125,0.9308991312980652,731.7,731.7,1.0,3.2
3,HEUR_VOR,0.4,0.6,0.8,3,5,6,629.9311279296875,0.8493672467857453,725.9,725.9,1.0,2.2
3,FOUR_ZONE,0.4,0.6,0.8,3,5,6,308.4,0.46698599373000294,660.6,660.6,1.0,0.0
3,PURE,0.4,0.6,0.8,3,5,6,329.2,0.49581328624241633,664.1,664.1,1.0,0.0
4,DRL,0.4,0.6,0.8,5,5,6,1692.2366088867188,1.808263349533081,908.0,908.0,1.0,11.0
4,HEUR,0.4,0.6,0.8,5,5,6,1551.3902160644532,1.6559176325798035,873.8,873.8,1.0,8.0
4,HEUR_VOR,0.4,0.6,0.8,5,5,6,808.8621948242187,1.0569023609161377,762.1,762.1,1.0,3.8
4,FOUR_ZONE,0.4,0.6,0.8,5,5,6,311.2,0.4574413885960441,682.7,682.7,1.0,0.0
4,PURE,0.4,0.6,0.8,5,5,6,323.4,0.48764052730929813,663.1,663.1,1.0,0.0
5,DRL,0.4,0.6,1.2,3,5,6,1109.871826171875,1.1707258939743042,925.0,925.0,1.0,4.0
5,HEUR,0.4,0.6,1.2,3,5,6,1027.0390625,1.1230364918708802,911.2,911.2,1.0,4.6
5,HEUR_VOR,0.4,0.6,1.2,3,5,6,999.0935913085938,1.0704278588294982,929.2,929.2,1.0,3.4
5,FOUR_ZONE,0.4,0.6,1.2,3,5,6,483.6,0.5903864705330132,819.3,819.3,1.0,0.0
5,PURE,0.4,0.6,1.2,3,5,6,478.2,0.5729965803431687,834.9,834.9,1.0,0.0
6,DRL,0.4,0.6,1.2,5,5,6,3189.88330078125,2.5250822067260743,1254.8,1254.8,1.0,18.4
6,HEUR,0.4,0.6,1.2,5,5,6,2350.8759033203123,2.0134984493255614,1156.1,1156.1,1.0,12.8
6,HEUR_VOR,0.4,0.6,1.2,5,5,6,1419.681494140625,1.4504408836364746,973.7,973.7,1.0,6.2
6,FOUR_ZONE,0.4,0.6,1.2,5,5,6,467.2,0.5669215780283302,823.9,823.9,1.0,0.0
6,PURE,0.4,0.6,1.2,5,5,6,495.8,0.5818616899357676,853.9,853.9,1.0,0.0
7,DRL,0.6,0.6,0.5,3,5,6,1107.620458984375,1.6319720506668092,667.1,667.1,1.0,5.2
7,HEUR,0.6,0.6,0.5,3,5,6,708.1776245117187,1.1344438791275024,617.8,617.8,1.0,3.2
7,HEUR_VOR,0.6,0.6,0.5,3,5,6,347.18125610351564,0.6423712639827314,532.2,532.2,1.0,1.4
7,FOUR_ZONE,0.6,0.6,0.5,3,5,6,188.6,0.36663555847133733,513.9,513.9,1.0,0.0
7,PURE,0.6,0.6,0.5,3,5,6,195.6,0.36434745483900693,536.9,536.9,1.0,0.0
8,DRL,0.6,0.6,0.5,5,5,6,2542.2636474609376,2.8222567081451415,890.8,890.8,1.0,14.4
8,HEUR,0.6,0.6,0.5,5,5,6,1863.0903564453124,2.297261381149292,805.6,805.6,1.0,11.2
8,HEUR_VOR,0.6,0.6,0.5,5,5,6,1043.2094970703124,1.5870295286178588,644.5,644.5,1.0,5.8
8,FOUR_ZONE,0.6,0.6,0.5,5,5,6,193.2,0.38788760964980207,499.4,499.4,1.0,0.0
8,PURE,0.6,0.6,0.5,5,5,6,195.6,0.3784425620116764,516.8,516.8,1.0,0.0
9,DRL,0.6,0.6,0.8,3,5,6,1374.9798950195313,1.5672452449798584,865.2,865.2,1.0,7.6
9,HEUR,0.6,0.6,0.8,3,5,6,1126.5630249023438,1.3914193749427795,794.2,794.2,1.0,4.8
9,HEUR_VOR,0.6,0.6,0.8,3,5,6,609.6666015625,0.8484551548957825,713.5,713.5,1.0,2.0
9,FOUR_ZONE,0.6,0.6,0.8,3,5,6,319.4,0.48254436970960857,662.0,662.0,1.0,0.0
9,PURE,0.6,0.6,0.8,3,5,6,312.0,0.4692719079791936,664.7,664.7,1.0,0.0
10,DRL,0.6,0.6,0.8,5,5,6,3058.850390625,2.632614803314209,1156.7,1156.7,1.0,20.2
10,HEUR,0.6,0.6,0.8,5,5,6,2536.299365234375,2.3961674213409423,1050.0,1050.0,1.0,15.8
10,HEUR_VOR,0.6,0.6,0.8,5,5,6,1873.4855346679688,2.030918288230896,898.6,898.6,1.0,9.6
10,FOUR_ZONE,0.6,0.6,0.8,5,5,6,314.4,0.46808078564407846,672.0,672.0,1.0,0.0
10,PURE,0.6,0.6,0.8,5,5,6,313.8,0.4657427682823033,673.9,673.9,1.0,0.0
11,DRL,0.6,0.6,1.2,3,5,6,1930.8318481445312,1.7803305625915526,1059.9,1059.9,1.0,8.8
11,HEUR,0.6,0.6,1.2,3,5,6,1435.45341796875,1.4486467361450195,963.5,963.5,1.0,6.2
11,HEUR_VOR,0.6,0.6,1.2,3,5,6,1146.2249633789063,1.2199379324913024,932.3,932.3,1.0,4.0
11,FOUR_ZONE,0.6,0.6,1.2,3,5,6,483.2,0.5613927152055658,861.2,861.2,1.0,0.0
11,PURE,0.6,0.6,1.2,3,5,6,484.6,0.5821756557027423,832.3,832.3,1.0,0.0
12,DRL,0.6,0.6,1.2,5,5,6,3999.1162109375,2.8433394908905028,1407.0,1385.0,0.6,21.6
12,HEUR,0.6,0.6,1.2,5,5,6,3241.993603515625,2.4754405498504637,1279.0,1171.6666666666667,0.6,18.8
12,HEUR_VOR,0.6,0.6,1.2,5,5,6,1784.4613037109375,1.6579006671905518,1055.0,1055.0,1.0,9.2
12,FOUR_ZONE,0.6,0.6,1.2,5,5,6,489.4,0.5724489902044855,855.2,855.2,1.0,0.0
12,PURE,0.6,0.6,1.2,5,5,6,470.6,0.5682536437572568,829.2,829.2,1.0,0.0
13,DRL,0.9,0.6,0.5,3,5,6,1193.9351867675782,1.660088551044464,683.8,683.8,1.0,6.8
13,HEUR,0.9,0.6,0.5,3,5,6,1327.631494140625,1.8526981353759766,706.9,706.9,1.0,6.6
13,HEUR_VOR,0.9,0.6,0.5,3,5,6,476.41923828125,0.8623759627342225,551.7,551.7,1.0,1.8
13,FOUR_ZONE,0.9,0.6,0.5,3,5,6,186.8,0.36585603727712457,510.7,510.7,1.0,0.0
13,PURE,0.9,0.6,0.5,3,5,6,191.8,0.37407267668718774,514.7,514.7,1.0,0.0
14,DRL,0.9,0.6,0.5,5,5,6,3764.685400390625,3.3741563320159913,1107.9,1107.9,1.0,26.4
14,HEUR,0.9,0.6,0.5,5,5,6,2818.9185302734377,2.8582921504974363,964.7,964.7,1.0,17.2
14,HEUR_VOR,0.9,0.6,0.5,5,5,6,1804.5983642578126,2.3333884716033935,773.8,773.8,1.0,11.0
14,FOUR_ZONE,0.9,0.6,0.5,5,5,6,197.6,0.38915821908943304,507.7,507.7,1.0,0.0
14,PURE,0.9,0.6,0.5,5,5,6,205.6,0.3808725491005457,542.4,542.4,1.0,0.0
15,DRL,0.9,0.6,0.8,3,5,6,1486.0196533203125,1.7826327562332154,826.8,826.8,1.0,8.0
15,HEUR,0.9,0.6,0.8,3,5,6,1425.287109375,1.667539620399475,835.3,835.3,1.0,7.4
15,HEUR_VOR,0.9,0.6,0.8,3,5,6,994.2587280273438,1.296186661720276,756.5,756.5,1.0,4.4
15,FOUR_ZONE,0.9,0.6,0.8,3,5,6,314.4,0.4643835757563915,677.7,677.7,1.0,0.0
15,PURE,0.9,0.6,0.8,3,5,6,319.2,0.4799202162571561,664.3,664.3,1.0,0.0
16,DRL,0.9,0.6,0.8,5,5,6,4637.0431640625,3.5350015640258787,1295.8,1199.6666666666667,0.6,28.0
16,HEUR,0.9,0.6,0.8,5,5,6,3789.366552734375,2.9655983448028564,1270.4,1270.4,1.0,24.4
16,HEUR_VOR,0.9,0.6,0.8,5,5,6,2153.634423828125,2.306061840057373,926.3,926.3,1.0,12.2
16,FOUR_ZONE,0.9,0.6,0.8,5,5,6,314.4,0.48031123139189313,654.6,654.6,1.0,0.0
16,PURE,0.9,0.6,0.8,5,5,6,311.8,0.4705760229756105,662.8,662.8,1.0,0.0
17,DRL,0.9,0.6,1.2,3,5,6,1849.9944580078125,1.7636388778686523,1032.9,1032.9,1.0,10.0
17,HEUR,0.9,0.6,1.2,3,5,6,1980.348828125,1.8238231182098388,1080.6,1080.6,1.0,11.8
17,HEUR_VOR,0.9,0.6,1.2,3,5,6,1205.2520385742187,1.2666409254074096,946.7,946.7,1.0,4.4
17,FOUR_ZONE,0.9,0.6,1.2,3,5,6,480.2,0.5704413308798425,841.8,841.8,1.0,0.0
17,PURE,0.9,0.6,1.2,3,5,6,474.0,0.5741258556281168,826.3,826.3,1.0,0.0
18,DRL,0.9,0.6,1.2,5,5,6,4991.77119140625,3.4665077209472654,1440.0,,0.0,30.4
18,HEUR,0.9,0.6,1.2,5,5,6,3891.874853515625,2.8225399971008303,1376.5,1281.25,0.4,25.0
18,HEUR_VOR,0.9,0.6,1.2,5,5,6,2724.255419921875,2.334400677680969,1161.7,1161.7,1.0,15.4
